_id,Idade,T_freq_bar_rest,Cidade,Bairro_bh,Regional,Estado_pais,restricao,outro_restricao,freq_aliment_rotina,freq_aliment_lazer,estab_rotina,estab_lazer,culinaria_fav,outra_culinaria,qtde_bar_rest_bh,disr_bar_rest,pratos_mineira,oferta_prato_mineiro_qualidade,cerveja_cachaca,cerv_cach1,cerv_cach2,cerv_cach3,facilidade_cerv_cach,local_compra_cerv_cach,outro_local_cerv_cach,motivo_nao,motivo_viagem,pernoites_qt,culinaria_decisao_viagem,T_aval_qualidadepratos,T_aval_horariofuncionamento,T_aval_infraestrutura,T_aval_atendimento,T_aval_diversidade,T_aval_apresetacao,T_aval_custobeneficio,T_percepcaobaresrest,T_expec_bh,prato_unico_bh,qual_prato,recomendacao,satisfeitocombares_rest_perto_casa,nao_porque,facilidade_comidatipicamin,principal_dificuldade,Variedade_Culinaria,Decoracao_conforto,Estacionamento,Entretenimento,Refeio,Atendimento,Limpeza,Custo_Benefcio,Apresentao_pratos,fonte_informacao,outras_fontes,festival_gastronomico,motivo_nao_festival,companhia_restaurantes_bares,gasto_medio_gastro,genero,renda_familiar,grau_instrucao
11,35,"",Belo Horizonte,Cardoso,Barreiro,MG,Vegetariano,"",5 dias por semana,2 vezes por mes,Restaurante Self-service,Fast-foods;Bares (petiscos e afins),Natural,"",Bares suficientes/ restaurantes insuficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Tutu; tropeiro; frango com quiabo,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Nao sabe ,"",41,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",5,4,2,3,5,3,4,4,4,Amigos e familiares;Google,"",Nao,localizacao,Amigos,80,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Tecnico
12,40,"",Belo Horizonte,Mineirao,Barreiro,MG,Nao,"",7 dias por semana,2 dias por semana,Restaurante Self-service,Fast-foods;Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Feijao Tropeiro,Sim- tanto bares quanto restaurantes,Sim,Backer ,"","",NS/NI,Nao sabe,"","","",42,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",4,3,2,3,4,3,3,2,2,Redes sociais,"",Sim,"",Conjuge/namorado(a),60,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
13,44,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",2 dias por semana,2 vezes por mes,Restaurante Self-service,Restaurante Self-service,Outra,Baiana,Bares suficientes/ restaurantes insuficientes,Acho que existem bares e restaurantes em toda a cidade,Feijoada,Sim- tanto bares quanto restaurantes,Sim,Belorizontina,Capitao Senior,Loba,NS/NI,Nao sabe,"","","",43,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,4,2,5,5,5,4,2,4,Amigos e familiares;Google,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,70,Masculino,Entre 7 SM e 10 SM (R$ 6.678 a R$ 9.540),Medio completo
14,18,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",6 dias por semana,2 dias por semana,Restaurante Self-service,Fast-foods,Outra,Americana,Bares insuficientes/ restaurantes suficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",44,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",4,3,2,1,4,4,4,5,4,Google,"",Sim,"",Amigos,50,Feminino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Medio completo
15,33,"",Belo Horizonte,Mineirao,Barreiro,MG,Nao,"",Raramente,1 vez por mes,Restaurante Self-service,Fast-foods,Mineira Tipica,"",Bares insuficientes/ restaurantes suficientes,Muito concentrado em alguns bairros,Frango com quiabo; tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao sabe ,"",45,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",3,4,1,4,5,3,4,4,4,Google,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,50,Feminino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Medio completo
16,42,"",Belo Horizonte,Vila Pinho,Barreiro,MG,Nao,"",Nunca,Raramente,NA,Fast-foods,Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Os bares sao mais concentrados mas restaurantes nao,Feijoada,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",46,"","","","","","","","","","","","",Nao recomendo,Nao sabe,"",Alta facilidade,"",4,3,2,3,3,3,4,3,4,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,50,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio incompleto
17,24,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",7 dias por semana,2 dias por semana,Restaurante Self-service,Fast-foods,Italiana,"",Ambos Suficientes,Muito concentrado em alguns bairros,Tutu,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",47,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,4,3,3,5,5,4,5,5,Amigos e familiares,"",Nao,outros,Conjuge/namorado(a),50,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
18,25,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",7 dias por semana,2 vezes por mes,Fast-foods,Bares (petiscos e afins),Italiana,"",Nao sabe,Nao sabe,Feijoada; Tropeiro,Nao sabe,Nao,"","","","","","",Falta de oportunidade,"",48,"","","","","","","","","","","","",Nao recomendo,Nao,NS,Alta facilidade,"",3,2,2,4,4,4,3,3,4,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a),200,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
19,45,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",Raramente,2 vezes por mes,Restaurante Self-service,Restaurante A La carte,Chinesa,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os restaurantes,Sim,Mate Couro,"","",Sim,Bar;Restaurante,"","","",49,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,3,,5,5,3,3,4,5,Amigos e familiares,"",Nao,localizacao,Conjuge/namorado(a) e filhos,100,Masculino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Fundamental  incompleto
20,35,"",Belo Horizonte,Barreiro ,Barreiro,MG,Nao,"",Nunca,Raramente,NA,Bares (petiscos e afins),Mineira Tipica,"",Nao sabe,Muito concentrado em alguns bairros,Feijoada,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de conhecimento,"",136,"","","","","","","","","","","","",Nao sabe,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,5,2,5,4,4,5,5,5,Amigos e familiares;Redes sociais,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,80,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio incompleto
21,33,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",6 dias por semana,2 dias por semana,Restaurante Self-service,Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,Tropeiro; Feijoada,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",145,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,4,3,2,4,3,3,2,4,Amigos e familiares,"",Sim,"",Conjuge/namorado(a) e filhos,150,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior completo
22,21,"",Belo Horizonte,Vila Cemig,Barreiro,MG,Nao,"",Nunca,3 vezes por mes,NA,Bares (petiscos e afins),Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Acho que existem bares e restaurantes em toda a cidade,Feijao Tropeiro,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",146,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Em termos- os restaurantes sao bons mas os bares nem tanto,"",Alta facilidade,"",5,4,4,5,5,4,4,4,5,Google,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,100,Feminino,Ate 1 SM (R$ 954),Fundamental  completo
23,30,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",Nunca,2 vezes por mes,NA,Fast-foods,Italiana,"",Bares suficientes/ restaurantes insuficientes,Acho que existem bares e restaurantes em toda a cidade,Frango com quiabo,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",147,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,3,2,2,4,3,3,3,2,Google,"",Nao,localizacao,Conjuge/namorado(a),50,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior completo
24,27,"",Belo Horizonte,Cardoso,Barreiro,MG,Outro,Evita gordura e comida industrializada,4 dias por semana,3 vezes por mes,Restaurante Self-service,Fast-foods,Japonesa,"",Ambos Suficientes,Muito concentrado em alguns bairros,Angu com torresmo; frango com quiabo,Sim- principalmente os bares,Nao,"","","","","","",Falta de informacao,"",148,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Nao,infraestrutura em geral,Alta facilidade,"",4,4,,5,5,4,4,3,4,Google,"",Sim,"",Conjuge/namorado(a) e filhos,30,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior completo
25,33,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",Nunca,3 vezes por mes,NA,Restaurante Self-service,Mineira Tipica,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Feijoada,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Falta de informacao,"",149,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,3,3,3,4,4,4,3,3,Amigos e familiares;Redes sociais;Google,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,50,Feminino,Nao respondeu,Superior completo
26,47,"",Belo Horizonte,Bairro das Industrias ,Barreiro,MG,Outro,Alho,3 dias por semana,3 vezes por mes,Restaurantes de Buffet,Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Feijao Tropeiro,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Falta de informacao,"",150,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Em termos- os restaurantes sao bons mas os bares nem tanto,"",Alta facilidade,"",5,4,2,4,5,5,5,5,5,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a),100,Masculino,Nao respondeu,Superior completo
27,36,"",Belo Horizonte,Bairro das Industrias ,Barreiro,MG,Nao,"",5 dias por semana,1 dia por semana,Restaurante Self-service,Restaurante A La carte;Restaurante Self-service,Italiana,"",Ambos Suficientes,Muito concentrado em alguns bairros,Feijoada,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de conhecimento,"",151,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",3,4,2,4,3,4,3,3,4,Amigos e familiares;Redes sociais,"",Nao,NS/NI,Demais familiares,35,Feminino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Medio completo
28,38,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",Raramente,2 dias por semana,Restaurante A La carte,Restaurante A La carte;Fast-foods;Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,Pao de queijo,Sim- principalmente os restaurantes,Sim,Queijo e doce,"","",Sim,Supermercados;Mercados/Feira,"","","",152,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,4,1,4,4,5,4,4,4,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a) e filhos,50,Masculino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Medio completo
29,37,"",Belo Horizonte,Jatoba,Barreiro,MG,Nao,"",4 dias por semana,3 vezes por mes,Restaurante Self-service,Fast-foods,Japonesa,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Pao de queijo,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Falta de informacao,"",153,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Nao,localizacao,Alta facilidade,"",5,4,1,3,5,3,3,4,4,Amigos e familiares;Jornais,"",Sim,"",Amigos,70,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
30,58,"",Belo Horizonte,Milionarios,Barreiro,MG,Nao,"",4 dias por semana,1 dia por semana,Restaurante Self-service,Restaurante Self-service,Gaucha Tipica,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Tropeiro; tutu a mineira,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao tem interesse,"",154,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Em termos- os restaurantes sao bons mas os bares nem tanto,"",Media facilidade,"",3,3,2,2,4,3,3,4,4,Amigos e familiares;Sites especializados;Google,"",Sim,"",Conjuge/namorado(a) e filhos,20,Masculino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Pos-graduacao /Especializacao/MBA
31,18,"",Belo Horizonte,Tirol,Barreiro,MG,Nao,"",Nunca,2 dias por semana,NA,NA,Mineira Tipica,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",155,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,3,5,4,5,3,3,4,2,Amigos e familiares,"",Nao,falta de informacao,Amigos,50,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
32,48,"",Belo Horizonte,Milionarios,Barreiro,MG,Nao,"",Nunca,Raramente,NA,Fast-foods,Italiana,"",Bares suficientes/ restaurantes insuficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijoada,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",238,"","","","","","","","","","","","",Sim- geralmente outros estabelecimentos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,4,3,4,4,3,3,3,4,Redes sociais,"",Sim,"",Conjuge/namorado(a) e filhos,100,Feminino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Fundamental  incompleto
33,28,"",Belo Horizonte,Marilandia,Barreiro,MG,Nao,"",Raramente,Raramente,Restaurante Self-service,Restaurante Self-service,Italiana,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Feijao Tropeiro,Sim- principalmente os bares,Nao,"","","","","","",Falta de informacao,"",239,"","","","","","","","","","","","",Sim- geralmente outros estabelecimentos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,4,3,4,5,5,4,3,4,Amigos e familiares;Redes sociais,"",Nao,falta de informacao,Amigos,100,Feminino,Ate 1 SM (R$ 954),Medio completo
34,31,"",Belo Horizonte,Flavio Marques,Barreiro,MG,Nao,"",5 dias por semana,3 vezes por mes,Restaurante Self-service,Bares (petiscos e afins),Italiana,"",Bares suficientes/ restaurantes insuficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Tutu;  Tropeiro ,Sim- principalmente os restaurantes,Sim,Backer,Belorizontina,Mate Couro,Sim,Bar;Supermercados,"","","",240,"","","","","","","","","","","","",Sim- geralmente outros estabelecimentos,Nao,infraestrutura em geral,Alta facilidade,"",4,3,1,4,5,4,3,4,4,Amigos e familiares;Redes sociais;Sites especializados;Google,"",Sim,"",Conjuge/namorado(a),90,Masculino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Superior completo
35,27,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",5 dias por semana,3 vezes por mes,Restaurante Self-service,Bares (petiscos e afins),Italiana,"",Bares suficientes/ restaurantes insuficientes,Os bares sao mais concentrados mas restaurantes nao,Feijoada; tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao sabe ,"",241,"","","","","","","","","","","","",Sim- geralmente outros estabelecimentos,Em termos- os restaurantes sao bons mas os bares nem tanto,"",Alta facilidade,"",5,4,1,3,5,2,4,4,5,Google,"",Sim,"",Amigos,50,Feminino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Tecnico
36,38,"",Belo Horizonte,Milionarios,Barreiro,MG,Vegetariano,"",5 dias por semana,3 dias por semana,Restaurante Self-service,Bares (petiscos e afins),Italiana,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Quiabo com angu; tropeiro; feijoada,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Localizacao,"",276,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Nao,localizacao,Alta facilidade,"",4,4,1,3,4,4,4,3,4,Amigos e familiares;Redes sociais;Google,"",Sim,"",Amigos,85,Masculino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Superior completo
37,25,"",Belo Horizonte,Santa Helena,Barreiro,MG,Nao,"",5 dias por semana,Raramente,Restaurante Self-service,Bares (petiscos e afins),Cozinha Variara,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Costelinha frita; couve angu; quiabo abobora,Sim- principalmente os restaurantes,Nao,"","","","","","",Precos elevados,"",277,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Em termos- os bares sao bons mas restaurantes nem tanto,"",Media facilidade,"",5,4,4,3,4,3,4,3,4,Amigos e familiares,"",Sim,"",Conjuge/namorado(a),100,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Tecnico
38,63,"",Belo Horizonte,Barreiro,Barreiro,MG,Outro,Diabetes,Nunca,1 dia por semana,NA,Restaurante Self-service,Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Feijoada,Sim- principalmente os restaurantes,Sim,Cerveja,"","",NS/NI,Nao sabe,"","","",278,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",5,4,4,4,5,3,3,3,2,Amigos e familiares;Redes sociais,"",Nao,falta de informacao,Amigos,100,Masculino,Nao respondeu,Medio completo
39,32,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",5 dias por semana,1 dia por semana,Restaurante Self-service,Restaurante A La carte,Italiana,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Frango com quiabo,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",279,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",3,2,2,3,4,4,4,3,4,Amigos e familiares;Redes sociais,"",Nao,NS/NI,Conjuge/namorado(a) e filhos,50,Feminino,Nao respondeu,Superior completo
40,25,"",Belo Horizonte,Barreiro,Barreiro,MG,Nao,"",3 dias por semana,2 vezes por mes,Restaurantes de Buffet,Fast-foods,Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",280,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,3,2,4,4,2,3,4,4,Amigos e familiares;Redes sociais;Google,"",Sim,"",Amigos,60,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
